sim,winner_overall,state_id,abbr,winner,state
2,Trump,46,VA,Trump,Utah
2,Trump,47,VT,Biden,Virginia
2,Trump,48,WA,Biden,Vermont
2,Trump,49,WI,Biden,Washington
2,Trump,50,WV,Biden,Wisconsin
2,Trump,51,WY,Trump,West Virginia
2,Trump,52,NA,Trump,Wyoming
3,Biden,1,AK,Trump,Alaska
3,Biden,2,AL,Trump,Alabama
3,Biden,3,AR,Trump,Arkansas
3,Biden,4,AZ,Biden,Arizona
3,Biden,5,CA,Biden,California
3,Biden,6,CO,Biden,Colorado
3,Biden,7,CT,Biden,Connecticut
3,Biden,8,DC,Biden,District of Columbia
3,Biden,9,DE,Biden,Delaware
3,Biden,10,FL,Biden,Florida
3,Biden,11,GA,Trump,Georgia
3,Biden,12,HI,Biden,Hawaii
3,Biden,13,IA,Trump,Iowa
3,Biden,14,ID,Trump,Idaho
3,Biden,15,IL,Biden,Illinois
3,Biden,16,IN,Trump,Indiana
3,Biden,17,KS,Trump,Kansas
3,Biden,18,KY,Trump,Kentucky
3,Biden,19,LA,Trump,Louisiana
3,Biden,20,MA,Biden,Massachusetts
3,Biden,21,MD,Biden,Maryland
3,Biden,22,ME,Biden,Maine
3,Biden,24,MN,Biden,Michigan
3,Biden,25,MO,Biden,Minnesota
3,Biden,26,MS,Trump,Missouri
3,Biden,27,MT,Trump,Mississippi
3,Biden,28,NC,Trump,Montana
3,Biden,29,ND,Biden,North Carolina
3,Biden,30,NE,Trump,North Dakota
3,Biden,31,NH,Trump,Nebraska
3,Biden,32,NJ,Biden,New Hampshire
3,Biden,33,NM,Biden,New Jersey
3,Biden,34,NV,Biden,New Mexico
3,Biden,35,NY,Biden,Nevada
3,Biden,36,OH,Biden,New York
3,Biden,37,OK,Biden,Ohio
3,Biden,38,OR,Trump,Oklahoma
3,Biden,39,PA,Biden,Oregon
3,Biden,40,RI,Biden,Pennsylvania
3,Biden,41,SC,Biden,Rhode Island
3,Biden,42,SD,Trump,South Carolina
3,Biden,43,TN,Trump,South Dakota
3,Biden,44,TX,Trump,Tennessee
3,Biden,45,UT,Trump,Texas
3,Biden,46,VA,Trump,Utah
3,Biden,47,VT,Biden,Virginia
3,Biden,48,WA,Biden,Vermont
3,Biden,49,WI,Biden,Washington
3,Biden,50,WV,Biden,Wisconsin
3,Biden,51,WY,Trump,West Virginia
3,Biden,52,NA,Trump,Wyoming
4,Biden,1,AK,Trump,Alaska
4,Biden,2,AL,Trump,Alabama
4,Biden,3,AR,Trump,Arkansas
4,Biden,4,AZ,Biden,Arizona
4,Biden,5,CA,Biden,California
4,Biden,6,CO,Biden,Colorado
4,Biden,7,CT,Biden,Connecticut
4,Biden,8,DC,Biden,District of Columbia
4,Biden,9,DE,Biden,Delaware
4,Biden,10,FL,Biden,Florida
4,Biden,11,GA,Biden,Georgia
4,Biden,12,HI,Biden,Hawaii
4,Biden,13,IA,Biden,Iowa
4,Biden,14,ID,Trump,Idaho
4,Biden,15,IL,Biden,Illinois
4,Biden,16,IN,Trump,Indiana
4,Biden,17,KS,Trump,Kansas
4,Biden,18,KY,Trump,Kentucky
4,Biden,19,LA,Trump,Louisiana
4,Biden,20,MA,Biden,Massachusetts
4,Biden,21,MD,Biden,Maryland
4,Biden,22,ME,Biden,Maine
4,Biden,24,MN,Biden,Michigan
4,Biden,25,MO,Biden,Minnesota
4,Biden,26,MS,Trump,Missouri
4,Biden,27,MT,Trump,Mississippi
4,Biden,28,NC,Biden,Montana
4,Biden,29,ND,Biden,North Carolina
4,Biden,30,NE,Trump,North Dakota
4,Biden,31,NH,Trump,Nebraska
4,Biden,32,NJ,Biden,New Hampshire
4,Biden,33,NM,Biden,New Jersey
4,Biden,34,NV,Biden,New Mexico
4,Biden,35,NY,Biden,Nevada
4,Biden,36,OH,Biden,New York
4,Biden,37,OK,Biden,Ohio
4,Biden,38,OR,Trump,Oklahoma
4,Biden,39,PA,Biden,Oregon
4,Biden,40,RI,Biden,Pennsylvania
4,Biden,41,SC,Biden,Rhode Island
4,Biden,42,SD,Biden,South Carolina
4,Biden,43,TN,Trump,South Dakota
4,Biden,44,TX,Trump,Tennessee
4,Biden,45,UT,Biden,Texas
4,Biden,46,VA,Trump,Utah
4,Biden,47,VT,Biden,Virginia
4,Biden,48,WA,Biden,Vermont
4,Biden,49,WI,Biden,Washington
4,Biden,50,WV,Biden,Wisconsin
4,Biden,51,WY,Trump,West Virginia
4,Biden,52,NA,Trump,Wyoming
5,Biden,1,AK,Trump,Alaska
5,Biden,2,AL,Trump,Alabama
5,Biden,3,AR,Trump,Arkansas
5,Biden,4,AZ,Biden,Arizona
5,Biden,5,CA,Biden,California
5,Biden,6,CO,Biden,Colorado
5,Biden,7,CT,Biden,Connecticut
5,Biden,8,DC,Biden,District of Columbia
5,Biden,9,DE,Biden,Delaware
5,Biden,10,FL,Trump,Florida
5,Biden,11,GA,Trump,Georgia
5,Biden,12,HI,Biden,Hawaii
5,Biden,13,IA,Trump,Iowa
5,Biden,14,ID,Trump,Idaho
5,Biden,15,IL,Biden,Illinois
5,Biden,16,IN,Trump,Indiana
5,Biden,17,KS,Trump,Kansas
5,Biden,18,KY,Trump,Kentucky
5,Biden,19,LA,Trump,Louisiana
5,Biden,20,MA,Biden,Massachusetts
5,Biden,21,MD,Biden,Maryland
5,Biden,22,ME,Biden,Maine
5,Biden,24,MN,Biden,Michigan
5,Biden,25,MO,Biden,Minnesota
5,Biden,26,MS,Trump,Missouri
5,Biden,27,MT,Trump,Mississippi
5,Biden,28,NC,Trump,Montana
5,Biden,29,ND,Trump,North Carolina
5,Biden,30,NE,Trump,North Dakota
5,Biden,31,NH,Trump,Nebraska
5,Biden,32,NJ,Biden,New Hampshire
5,Biden,33,NM,Biden,New Jersey
5,Biden,34,NV,Biden,New Mexico
5,Biden,35,NY,Trump,Nevada
5,Biden,36,OH,Biden,New York
5,Biden,37,OK,Trump,Ohio
5,Biden,38,OR,Trump,Oklahoma
5,Biden,39,PA,Biden,Oregon
5,Biden,40,RI,Biden,Pennsylvania
5,Biden,41,SC,Biden,Rhode Island
5,Biden,42,SD,Trump,South Carolina
5,Biden,43,TN,Trump,South Dakota
5,Biden,44,TX,Trump,Tennessee
5,Biden,45,UT,Trump,Texas
5,Biden,46,VA,Trump,Utah
5,Biden,47,VT,Biden,Virginia
5,Biden,48,WA,Biden,Vermont
5,Biden,49,WI,Biden,Washington
5,Biden,50,WV,Biden,Wisconsin
5,Biden,51,WY,Trump,West Virginia
5,Biden,52,NA,Trump,Wyoming
6,Biden,1,AK,Trump,Alaska
6,Biden,2,AL,Trump,Alabama
6,Biden,3,AR,Trump,Arkansas
6,Biden,4,AZ,Biden,Arizona
6,Biden,5,CA,Biden,California
6,Biden,6,CO,Biden,Colorado
6,Biden,7,CT,Biden,Connecticut
6,Biden,8,DC,Biden,District of Columbia
6,Biden,9,DE,Biden,Delaware
6,Biden,10,FL,Trump,Florida
6,Biden,11,GA,Trump,Georgia
6,Biden,12,HI,Biden,Hawaii
6,Biden,13,IA,Trump,Iowa
6,Biden,14,ID,Trump,Idaho
6,Biden,15,IL,Biden,Illinois
6,Biden,16,IN,Trump,Indiana
6,Biden,17,KS,Trump,Kansas
6,Biden,18,KY,Trump,Kentucky
6,Biden,19,LA,Trump,Louisiana
6,Biden,20,MA,Biden,Massachusetts
6,Biden,21,MD,Biden,Maryland
6,Biden,22,ME,Biden,Maine
6,Biden,24,MN,Biden,Michigan
6,Biden,25,MO,Biden,Minnesota
6,Biden,26,MS,Trump,Missouri
6,Biden,27,MT,Trump,Mississippi
6,Biden,28,NC,Trump,Montana
6,Biden,29,ND,Trump,North Carolina
6,Biden,30,NE,Trump,North Dakota
6,Biden,31,NH,Trump,Nebraska
6,Biden,32,NJ,Biden,New Hampshire
6,Biden,33,NM,Biden,New Jersey
6,Biden,34,NV,Biden,New Mexico
6,Biden,35,NY,Biden,Nevada
6,Biden,36,OH,Biden,New York
6,Biden,37,OK,Biden,Ohio
6,Biden,38,OR,Trump,Oklahoma
6,Biden,39,PA,Biden,Oregon
6,Biden,40,RI,Biden,Pennsylvania
6,Biden,41,SC,Biden,Rhode Island
6,Biden,42,SD,Trump,South Carolina
6,Biden,43,TN,Trump,South Dakota
6,Biden,44,TX,Trump,Tennessee
6,Biden,45,UT,Trump,Texas
6,Biden,46,VA,Biden,Utah
6,Biden,47,VT,Biden,Virginia
6,Biden,48,WA,Biden,Vermont
6,Biden,49,WI,Biden,Washington
6,Biden,50,WV,Biden,Wisconsin
6,Biden,51,WY,Trump,West Virginia
6,Biden,52,NA,Trump,Wyoming
7,Biden,1,AK,Biden,Alaska
7,Biden,2,AL,Trump,Alabama
7,Biden,3,AR,Trump,Arkansas
7,Biden,4,AZ,Trump,Arizona
7,Biden,5,CA,Biden,California
7,Biden,6,CO,Biden,Colorado
7,Biden,7,CT,Biden,Connecticut
7,Biden,8,DC,Biden,District of Columbia
7,Biden,9,DE,Biden,Delaware
7,Biden,10,FL,Trump,Florida
7,Biden,11,GA,Biden,Georgia
7,Biden,12,HI,Biden,Hawaii
7,Biden,13,IA,Trump,Iowa
7,Biden,14,ID,Trump,Idaho
7,Biden,15,IL,Biden,Illinois
7,Biden,16,IN,Trump,Indiana
7,Biden,17,KS,Trump,Kansas
7,Biden,18,KY,Trump,Kentucky
7,Biden,19,LA,Trump,Louisiana
7,Biden,20,MA,Biden,Massachusetts
7,Biden,21,MD,Biden,Maryland
7,Biden,22,ME,Biden,Maine
7,Biden,24,MN,Biden,Michigan
7,Biden,25,MO,Biden,Minnesota
7,Biden,26,MS,Trump,Missouri
7,Biden,27,MT,Trump,Mississippi
7,Biden,28,NC,Trump,Montana
7,Biden,29,ND,Biden,North Carolina
7,Biden,30,NE,Trump,North Dakota
7,Biden,31,NH,Trump,Nebraska
7,Biden,32,NJ,Biden,New Hampshire
7,Biden,33,NM,Biden,New Jersey
7,Biden,34,NV,Biden,New Mexico
7,Biden,35,NY,Biden,Nevada
7,Biden,36,OH,Biden,New York
7,Biden,37,OK,Biden,Ohio
7,Biden,38,OR,Trump,Oklahoma
7,Biden,39,PA,Biden,Oregon
7,Biden,40,RI,Biden,Pennsylvania
7,Biden,41,SC,Biden,Rhode Island
7,Biden,42,SD,Trump,South Carolina
7,Biden,43,TN,Trump,South Dakota
7,Biden,44,TX,Trump,Tennessee
7,Biden,45,UT,Trump,Texas
7,Biden,46,VA,Trump,Utah
7,Biden,47,VT,Biden,Virginia
7,Biden,48,WA,Biden,Vermont
7,Biden,49,WI,Biden,Washington
7,Biden,50,WV,Trump,Wisconsin
7,Biden,51,WY,Trump,West Virginia
7,Biden,52,NA,Trump,Wyoming
8,Biden,1,AK,Trump,Alaska
8,Biden,2,AL,Trump,Alabama
8,Biden,3,AR,Trump,Arkansas
8,Biden,4,AZ,Biden,Arizona
8,Biden,5,CA,Biden,California
8,Biden,6,CO,Biden,Colorado
8,Biden,7,CT,Biden,Connecticut
8,Biden,8,DC,Biden,District of Columbia
8,Biden,9,DE,Biden,Delaware
8,Biden,10,FL,Biden,Florida
8,Biden,11,GA,Trump,Georgia
8,Biden,12,HI,Biden,Hawaii
8,Biden,13,IA,Biden,Iowa
8,Biden,14,ID,Trump,Idaho
8,Biden,15,IL,Biden,Illinois
8,Biden,16,IN,Trump,Indiana
8,Biden,17,KS,Trump,Kansas
8,Biden,18,KY,Trump,Kentucky
8,Biden,19,LA,Trump,Louisiana
8,Biden,20,MA,Biden,Massachusetts
8,Biden,21,MD,Biden,Maryland
8,Biden,22,ME,Biden,Maine
8,Biden,24,MN,Biden,Michigan
8,Biden,25,MO,Biden,Minnesota
8,Biden,26,MS,Trump,Missouri
8,Biden,27,MT,Trump,Mississippi
8,Biden,28,NC,Trump,Montana
8,Biden,29,ND,Trump,North Carolina
8,Biden,30,NE,Trump,North Dakota
8,Biden,31,NH,Trump,Nebraska
8,Biden,32,NJ,Biden,New Hampshire
8,Biden,33,NM,Biden,New Jersey
8,Biden,34,NV,Biden,New Mexico
8,Biden,35,NY,Biden,Nevada
8,Biden,36,OH,Biden,New York
8,Biden,37,OK,Trump,Ohio
8,Biden,38,OR,Trump,Oklahoma
8,Biden,39,PA,Biden,Oregon
8,Biden,40,RI,Biden,Pennsylvania
8,Biden,41,SC,Biden,Rhode Island
8,Biden,42,SD,Trump,South Carolina
8,Biden,43,TN,Trump,South Dakota
8,Biden,44,TX,Trump,Tennessee
8,Biden,45,UT,Trump,Texas
8,Biden,46,VA,Trump,Utah
8,Biden,47,VT,Biden,Virginia
8,Biden,48,WA,Biden,Vermont
8,Biden,49,WI,Biden,Washington
8,Biden,50,WV,Biden,Wisconsin
8,Biden,51,WY,Trump,West Virginia
8,Biden,52,NA,Trump,Wyoming
9,Biden,1,AK,Trump,Alaska
9,Biden,2,AL,Trump,Alabama
9,Biden,3,AR,Trump,Arkansas
9,Biden,4,AZ,Trump,Arizona
9,Biden,5,CA,Biden,California
9,Biden,6,CO,Biden,Colorado
9,Biden,7,CT,Biden,Connecticut
9,Biden,8,DC,Biden,District of Columbia
9,Biden,9,DE,Biden,Delaware
9,Biden,10,FL,Trump,Florida
9,Biden,11,GA,Biden,Georgia
9,Biden,12,HI,Biden,Hawaii
9,Biden,13,IA,Trump,Iowa
9,Biden,14,ID,Trump,Idaho
9,Biden,15,IL,Biden,Illinois
9,Biden,16,IN,Trump,Indiana
9,Biden,17,KS,Trump,Kansas
9,Biden,18,KY,Trump,Kentucky
9,Biden,19,LA,Trump,Louisiana
9,Biden,20,MA,Biden,Massachusetts
9,Biden,21,MD,Biden,Maryland
9,Biden,22,ME,Biden,Maine
9,Biden,24,MN,Biden,Michigan
9,Biden,25,MO,Biden,Minnesota
9,Biden,26,MS,Trump,Missouri
9,Biden,27,MT,Trump,Mississippi
9,Biden,28,NC,Trump,Montana
9,Biden,29,ND,Biden,North Carolina
9,Biden,30,NE,Trump,North Dakota
9,Biden,31,NH,Trump,Nebraska
9,Biden,32,NJ,Trump,New Hampshire
9,Biden,33,NM,Biden,New Jersey
9,Biden,34,NV,Biden,New Mexico
9,Biden,35,NY,Biden,Nevada
9,Biden,36,OH,Biden,New York
9,Biden,37,OK,Trump,Ohio
9,Biden,38,OR,Trump,Oklahoma
9,Biden,39,PA,Biden,Oregon
9,Biden,40,RI,Biden,Pennsylvania
9,Biden,41,SC,Biden,Rhode Island
9,Biden,42,SD,Trump,South Carolina
9,Biden,43,TN,Trump,South Dakota
9,Biden,44,TX,Trump,Tennessee
9,Biden,45,UT,Trump,Texas
9,Biden,46,VA,Trump,Utah
9,Biden,47,VT,Biden,Virginia
9,Biden,48,WA,Biden,Vermont
9,Biden,49,WI,Biden,Washington
9,Biden,50,WV,Biden,Wisconsin
9,Biden,51,WY,Trump,West Virginia
9,Biden,52,NA,Trump,Wyoming
10,Biden,1,AK,Trump,Alaska
10,Biden,2,AL,Trump,Alabama
10,Biden,3,AR,Trump,Arkansas
10,Biden,4,AZ,Biden,Arizona
10,Biden,5,CA,Biden,California
10,Biden,6,CO,Biden,Colorado
10,Biden,7,CT,Biden,Connecticut
10,Biden,8,DC,Biden,District of Columbia
10,Biden,9,DE,Biden,Delaware
10,Biden,10,FL,Biden,Florida
10,Biden,11,GA,Biden,Georgia
10,Biden,12,HI,Biden,Hawaii
10,Biden,13,IA,Trump,Iowa
10,Biden,14,ID,Trump,Idaho
10,Biden,15,IL,Biden,Illinois
10,Biden,16,IN,Trump,Indiana
10,Biden,17,KS,Trump,Kansas
10,Biden,18,KY,Trump,Kentucky
10,Biden,19,LA,Trump,Louisiana
10,Biden,20,MA,Biden,Massachusetts
10,Biden,21,MD,Biden,Maryland
10,Biden,22,ME,Biden,Maine
10,Biden,24,MN,Biden,Michigan
10,Biden,25,MO,Biden,Minnesota
10,Biden,26,MS,Trump,Missouri
10,Biden,27,MT,Trump,Mississippi
10,Biden,28,NC,Trump,Montana
10,Biden,29,ND,Biden,North Carolina
10,Biden,30,NE,Trump,North Dakota
10,Biden,31,NH,Trump,Nebraska
10,Biden,32,NJ,Biden,New Hampshire
10,Biden,33,NM,Biden,New Jersey
10,Biden,34,NV,Biden,New Mexico
10,Biden,35,NY,Biden,Nevada
10,Biden,36,OH,Biden,New York
10,Biden,37,OK,Biden,Ohio
10,Biden,38,OR,Trump,Oklahoma
10,Biden,39,PA,Biden,Oregon
10,Biden,40,RI,Biden,Pennsylvania
10,Biden,41,SC,Biden,Rhode Island
10,Biden,42,SD,Biden,South Carolina
10,Biden,43,TN,Trump,South Dakota
10,Biden,44,TX,Trump,Tennessee
10,Biden,45,UT,Biden,Texas
10,Biden,46,VA,Trump,Utah
10,Biden,47,VT,Biden,Virginia
10,Biden,48,WA,Biden,Vermont
10,Biden,49,WI,Biden,Washington
10,Biden,50,WV,Biden,Wisconsin
10,Biden,51,WY,Trump,West Virginia
10,Biden,52,NA,Trump,Wyoming
11,Biden,1,AK,Trump,Alaska
11,Biden,2,AL,Trump,Alabama
11,Biden,3,AR,Trump,Arkansas
11,Biden,4,AZ,Trump,Arizona
11,Biden,5,CA,Biden,California
11,Biden,6,CO,Biden,Colorado
11,Biden,7,CT,Biden,Connecticut
11,Biden,8,DC,Biden,District of Columbia
11,Biden,9,DE,Biden,Delaware
11,Biden,10,FL,Biden,Florida
11,Biden,11,GA,Trump,Georgia
11,Biden,12,HI,Biden,Hawaii
11,Biden,13,IA,Trump,Iowa
11,Biden,14,ID,Trump,Idaho
11,Biden,15,IL,Biden,Illinois
11,Biden,16,IN,Trump,Indiana
11,Biden,17,KS,Trump,Kansas
11,Biden,18,KY,Trump,Kentucky
11,Biden,19,LA,Trump,Louisiana
11,Biden,20,MA,Biden,Massachusetts
11,Biden,21,MD,Biden,Maryland
11,Biden,22,ME,Trump,Maine
11,Biden,24,MN,Biden,Michigan
11,Biden,25,MO,Biden,Minnesota
11,Biden,26,MS,Trump,Missouri
11,Biden,27,MT,Trump,Mississippi
11,Biden,28,NC,Trump,Montana
11,Biden,29,ND,Trump,North Carolina
11,Biden,30,NE,Trump,North Dakota
11,Biden,31,NH,Trump,Nebraska
11,Biden,32,NJ,Biden,New Hampshire
11,Biden,33,NM,Biden,New Jersey
11,Biden,34,NV,Biden,New Mexico
11,Biden,35,NY,Biden,Nevada
11,Biden,36,OH,Biden,New York
11,Biden,37,OK,Trump,Ohio
11,Biden,38,OR,Trump,Oklahoma
11,Biden,39,PA,Biden,Oregon
11,Biden,40,RI,Trump,Pennsylvania
11,Biden,41,SC,Biden,Rhode Island
11,Biden,42,SD,Trump,South Carolina
11,Biden,43,TN,Trump,South Dakota
11,Biden,44,TX,Trump,Tennessee
11,Biden,45,UT,Trump,Texas
11,Biden,46,VA,Trump,Utah
11,Biden,47,VT,Biden,Virginia
11,Biden,48,WA,Biden,Vermont
11,Biden,49,WI,Biden,Washington
11,Biden,50,WV,Biden,Wisconsin
11,Biden,51,WY,Trump,West Virginia
11,Biden,52,NA,Trump,Wyoming
12,Biden,1,AK,Trump,Alaska
12,Biden,2,AL,Trump,Alabama
12,Biden,3,AR,Trump,Arkansas
12,Biden,4,AZ,Biden,Arizona
12,Biden,5,CA,Biden,California
12,Biden,6,CO,Biden,Colorado
12,Biden,7,CT,Biden,Connecticut
12,Biden,8,DC,Biden,District of Columbia
12,Biden,9,DE,Biden,Delaware
12,Biden,10,FL,Biden,Florida
12,Biden,11,GA,Biden,Georgia
12,Biden,12,HI,Biden,Hawaii
12,Biden,13,IA,Biden,Iowa
12,Biden,14,ID,Trump,Idaho
12,Biden,15,IL,Biden,Illinois
12,Biden,16,IN,Trump,Indiana
12,Biden,17,KS,Trump,Kansas
12,Biden,18,KY,Trump,Kentucky
12,Biden,19,LA,Trump,Louisiana
12,Biden,20,MA,Biden,Massachusetts
12,Biden,21,MD,Biden,Maryland
12,Biden,22,ME,Biden,Maine
12,Biden,24,MN,Biden,Michigan
12,Biden,25,MO,Biden,Minnesota
12,Biden,26,MS,Trump,Missouri
12,Biden,27,MT,Trump,Mississippi
12,Biden,28,NC,Trump,Montana
12,Biden,29,ND,Biden,North Carolina
12,Biden,30,NE,Trump,North Dakota
12,Biden,31,NH,Trump,Nebraska
12,Biden,32,NJ,Biden,New Hampshire
12,Biden,33,NM,Biden,New Jersey
12,Biden,34,NV,Biden,New Mexico
12,Biden,35,NY,Biden,Nevada
12,Biden,36,OH,Biden,New York
12,Biden,37,OK,Trump,Ohio
12,Biden,38,OR,Trump,Oklahoma
12,Biden,39,PA,Biden,Oregon
12,Biden,40,RI,Biden,Pennsylvania
12,Biden,41,SC,Biden,Rhode Island
12,Biden,42,SD,Trump,South Carolina
12,Biden,43,TN,Trump,South Dakota
12,Biden,44,TX,Trump,Tennessee
12,Biden,45,UT,Biden,Texas
12,Biden,46,VA,Trump,Utah
12,Biden,47,VT,Biden,Virginia
12,Biden,48,WA,Biden,Vermont
12,Biden,49,WI,Biden,Washington
12,Biden,50,WV,Biden,Wisconsin
12,Biden,51,WY,Trump,West Virginia
12,Biden,52,NA,Trump,Wyoming
13,Biden,1,AK,Trump,Alaska
13,Biden,2,AL,Trump,Alabama
13,Biden,3,AR,Trump,Arkansas
13,Biden,4,AZ,Biden,Arizona
13,Biden,5,CA,Biden,California
13,Biden,6,CO,Biden,Colorado
13,Biden,7,CT,Biden,Connecticut
13,Biden,8,DC,Biden,District of Columbia
13,Biden,9,DE,Biden,Delaware
13,Biden,10,FL,Biden,Florida
13,Biden,11,GA,Biden,Georgia
13,Biden,12,HI,Biden,Hawaii
13,Biden,13,IA,Biden,Iowa
13,Biden,14,ID,Trump,Idaho
13,Biden,15,IL,Biden,Illinois
13,Biden,16,IN,Trump,Indiana
13,Biden,17,KS,Trump,Kansas
13,Biden,18,KY,Trump,Kentucky
13,Biden,19,LA,Trump,Louisiana
13,Biden,20,MA,Biden,Massachusetts
13,Biden,21,MD,Biden,Maryland
13,Biden,22,ME,Biden,Maine
13,Biden,24,MN,Biden,Michigan
13,Biden,25,MO,Biden,Minnesota
13,Biden,26,MS,Trump,Missouri
13,Biden,27,MT,Trump,Mississippi
13,Biden,28,NC,Trump,Montana
13,Biden,29,ND,Biden,North Carolina
13,Biden,30,NE,Trump,North Dakota
13,Biden,31,NH,Trump,Nebraska
13,Biden,32,NJ,Biden,New Hampshire
13,Biden,33,NM,Biden,New Jersey
13,Biden,34,NV,Biden,New Mexico
13,Biden,35,NY,Biden,Nevada
13,Biden,36,OH,Biden,New York
13,Biden,37,OK,Biden,Ohio
13,Biden,38,OR,Trump,Oklahoma
13,Biden,39,PA,Biden,Oregon
13,Biden,40,RI,Biden,Pennsylvania
13,Biden,41,SC,Biden,Rhode Island
13,Biden,42,SD,Trump,South Carolina
13,Biden,43,TN,Trump,South Dakota
13,Biden,44,TX,Trump,Tennessee
13,Biden,45,UT,Biden,Texas
13,Biden,46,VA,Trump,Utah
13,Biden,47,VT,Biden,Virginia
13,Biden,48,WA,Biden,Vermont
13,Biden,49,WI,Biden,Washington
13,Biden,50,WV,Biden,Wisconsin
13,Biden,51,WY,Trump,West Virginia
13,Biden,52,NA,Trump,Wyoming
14,Biden,1,AK,Trump,Alaska
14,Biden,2,AL,Biden,Alabama
14,Biden,3,AR,Trump,Arkansas
14,Biden,4,AZ,Biden,Arizona
14,Biden,5,CA,Biden,California
14,Biden,6,CO,Biden,Colorado
14,Biden,7,CT,Biden,Connecticut
14,Biden,8,DC,Biden,District of Columbia
14,Biden,9,DE,Biden,Delaware
14,Biden,10,FL,Biden,Florida
14,Biden,11,GA,Biden,Georgia
14,Biden,12,HI,Biden,Hawaii
14,Biden,13,IA,Trump,Iowa
14,Biden,14,ID,Trump,Idaho
14,Biden,15,IL,Biden,Illinois
14,Biden,16,IN,Trump,Indiana
14,Biden,17,KS,Trump,Kansas
14,Biden,18,KY,Trump,Kentucky
14,Biden,19,LA,Biden,Louisiana
